部,(BỘ - bộ phận)
倍,(BỘI - bội số)
陪,(BỒI - bồi thẩm đoàn)
帯,(ĐỚI - cái đai)
埠,(PHỤ - bến đỗ)
滞,(TRỆ - đình trệ)
帰,(QUY - trở về)
婦,(PHỤ - phụ nữ)
掃,(TẢO - quét dọn)
至,(CHÍ - kịp, đến)
培,(BỒI - bồi dưỡng)
賠,(BỒI - bồi thường)
剖,(PHẪU - phẫu thuật)
握,(ÁC - cầm, nắm)
室,(THẤT - phòng)
屋,(ỐC - mái nhà)
致,(TRÍ - nhất trí)
緻,(TRÍ - tỉ mỉ)
到,(ĐÁO - đến nơi)
倒,(ĐẢO - ngã, đổ)
窒,(TRẤT - dạ m)
旨,(CHỈ - ý chỉ)
歴,(LỊCH - lí lịch)
暦,(LỊCH - tấm lịch)
詣,(NGHỆ - hành hương)
襟,(KHÂM - cổ áo)
稽,(KÊ - cãi cọ)
警,(CẢNH - cảnh sát)
指,(CHỈ - ngón tay)
脂,(CHỈ - mỡ)
禁,(CẤM - nghiêm cấm)
敬,(KÍNH - cung kính)
驚,(KINH - kinh ngạc)
句,(CÚ - câu cú)
拘,(CÂU - bắt giữ)
厄,(ÁCH - tai họa)
勾,(CÂU - móc lấy)
匂,(MÙI - mùi)
旬,(TUẦN - 10 ngày)
旧,(CỰU - kỳ cựu)
駒,(CÂU - ngựa con)
危,(NGUY - nguy hiểm)
犯,(PHẠM - vi phạm)
範,(PHẠM - phạm vi)
殉,(TUẦN - chết theo)
児,(NHI - nhi đồng)
氾,(PHIẾM - tràn lan)
怨,(OÁN - oán giận)
宛,(UYỂN - địa chỉ)
途,(ĐỒ - con đường)
塗,(ĐỒ - sơn)
除,(TRỪ - xóa bỏ)
陥,(HÃM - vây hãm)
稲,(ĐẠO - bông lúa)
腕,(OẢN - cánh tay)
余,(DƯ - dư thừa)
斜,(TÀ - nghiêng)
茶,(TRÀ - trà)
徐,(TỪ - thong thả)
制,(CHẾ - chế độ)
易,(DỊCH - dễ dàng)
賜,(TỨ - ban cho)
罵,(MẠ - lăng mạ)
死,(TỬ - chết)
叙,(TỰ - tường thuật)
製,(CHẾ - chế tạo)
声,(THANH - âm thanh)
眉,(MI - lông mày)
督,(ĐỐC - đôn đốc)
葬,(TÁNG - mai táng)
善,(THIỆN - cải thiện)
繕,(THIỆN - sửa chữa)
貞,(TRINH - trinh tiết)
玄,(HUYỀN - màu đen)
狭,(HIỆP - hẹp)
挟,(HIỆP - kẹp)
属,(CHÚC, THUỘC - phụ thuộc)
嘱,(CHÚC - giao phó)
偵,(TRINH - trinh thám)
絃,(HUYỀN - dây đàn)
弦,(HUYỀN - dây cung)
舷,(HUYỀN - mạn thuyền)
峡,(HẠP - hẻm núi)
漢,(HÁN - chữ hán)
難,(NAN - gian nan, khó)
蓄,(SÚC - tích trữ)
聴,(THÍNH - thính giác)
壊,(HOẠI - phá hoại)
頬,(GIÁP - cái má)
畜,(SÚC - gia súc)
嘆,(THÁN - ca thán)
徳,(ĐỨC - đạo đức)
勤,(CẦN - cần cù)
謹,(CẨN - cẩn thận)
懐,(HOÀI - hoài niệm)
劇,(KỊCH - diễn kịch)
慢,(MẠN - ngạo mạn)
漫,(MẠN - lãng mạn)
券,(KHOÁN - chứng khoán)
巻,(QUYỂN - quyển sách)
僅,(CẬN - ít)
虚,(HƯ - hư không)
戯,(HÍ - trêu đùa)
胃,(VỊ - dạ dày)
慮,(LỰ - lưỡng lự)
虎,(HỔ - con hổ)
圏,(QUYỂN - khí quyển)
虜,(LỖ - tù binh)
就,(TỰU - thành tựu)
蹴,(XÚC - đá)
滕,(ĐẰNG - hoa tử đằng)
謄,(ĐẰNG - sao chép)
拳,(QUYỀN - nắm đấm)
虐,(NGƯỢC - ngược đãi)
勝,(THẮNG - chiến thắng)
沈,(TRẦM - chìm)
枕,(CHẨM - cái gối)
騰,(ĐẰNG - tăng giá)
劾,(HẠC - luận tội)
刻,(KHẮC - điêu khắc)
核,(HẠCH - hạt nhân)
該,(CAI - bao quát)
兼,(KIÊM - kiêm nhiệm)
嫌,(HIỀM - hiềm khích)
去,(KHỨ - quá khứ)
法,(PHÁP - phương pháp)
却,(KHƯỚC - khước từ)
骸,(HÀI - hài cốt)
脚,(CƯỚC - cú đá)
廉,(LIÊM - liêm khiết)
蓋,(CÁI - cái vung)
賢,(HIỀN - thông minh)
堅,(KIÊN - kiên cố)
腎,(THẬN - quả thận)
期,(KÌ - kì hạn)
棋,(KÌ - cờ tướng)
鎌,(LIÊM - cái liềm)
謙,(KHIÊM - khiêm tốn)
緊,(KHẨN - khẩn trương)
奇,(KÌ - kì lạ)
寄,(KÍ - kí gửi)
埼,(KÌ - mũi đất)
崎,(KHI - đường núi)
欺,(KHI - lừa đảo)
騎,(KỊ - cưỡi ngựa)
塞,(TẮC - bế tắc)
寒,(HÀN - lạnh)
甚,(THẬM - rất, lắm)
碁,(KÌ - cờ vây)
旗,(KÌ - quốc kì)
